Locus_Tag,Protein Name,Functional_Group_Name,KO_IDs,KEGG_Pathway_IDs,KEGG_Pathway_Names,KEGG_Pathway_Categories,COG_Category_ID,COG_Category_Name,EC_Numbers,EC_Descriptions,GO_IDs,GO_Names,PFAM_Domains,Tags,Subcategories,Confidence_Score,Notes,
BFJEKD_04505,Hypothetical protein,Unknown Function,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Amino Acid Biosynthesis'],Low,No functional annotation or domain detected; sequence contains histidine-rich repeats suggesting possible metal binding but no confident assignment.,
BFJEKD_04510,PepSY domain containing protein,Peptidase Regulation,,,,,COG3212,Inhibitors of metallopeptidases,,,,,"[{'id': 'PF03413', 'name': 'PepSY'}]","['peptidase regulation', 'metallopeptidase inhibitor', 'protein domain']",['Unknown & Hypothetical Proteins'],Medium,PepSY domain proteins regulate zincin peptidases; COG category supports metallopeptidase inhibitor function.,
BFJEKD_04515,DNA-binding response regulator OmpR family,Two-Component Regulatory System,['K02483'],['ko02020'],['Two-component system'],['Environmental Information Processing'],COG0745,Signal transduction mechanisms,,,"['GO:0005829', 'GO:0032993', 'GO:0003677', 'GO:0006355', 'GO:0000160', 'GO:0000976', 'GO:0000156']","['cytoplasm', 'protein-containing complex', 'DNA binding', 'regulation of transcription, DNA-templated', 'signal transduction', 'sequence-specific DNA binding', 'two-component signal transduction system (phosphorelay)']","[{'id': 'PF00072', 'name': 'Response_reg'}, {'id': 'PF00486', 'name': 'Trans_reg_C'}]","['two-component system', 'transcription regulation', 'signal transduction', 'response regulator']",['Amino Acid Biosynthesis'],High,"Well-annotated two-component system response regulator with KO, COG, GO, and PFAM domains; suitable for regulatory network analysis.",
BFJEKD_04520,Signal transduction histidine kinase PhoQ (OmpR family),Two-component system sensor kinase,['K07637'],['ko02020'],['Two-component system'],['Environmental Information Processing'],COG0642,Signal transduction mechanisms,['2.7.13.3'],['Histidine kinase (ATP)'],"['GO:0000160', 'GO:0005886', 'GO:0000155', 'GO:0007165', 'GO:0004672', 'GO:0005524', 'GO:0004722', 'GO:0009639', 'GO:0006355', 'GO:0009506']","['two-component signal transduction system', 'plasma membrane', 'two-component sensor activity', 'signal transduction', 'protein histidine kinase activity', 'ATP binding', 'protein tyrosine/serine/threonine phosphatase activity', 'response to cold', 'transcription, DNA-templated', 'chloroplast']","[{'id': 'PF02518', 'name': 'HATPase_c'}]","['two-component system', 'signal transduction', 'histidine kinase', 'membrane sensor', 'OmpR family']",['Amino Acid Biosynthesis'],High,"Complete and consistent annotation with KO, EC, GO, COG, and PFAM supporting a canonical two-component sensor histidine kinase involved in environmental signal transduction.",
BFJEKD_04525,Hypothetical protein,Uncharacterized protein,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Protein Processing & Degradation'],Low,No functional annotation available; sequence and domain searches recommended for further characterization.,
BFJEKD_04530,Aspartate carbamoyltransferase catalytic subunit,Pyrimidine biosynthesis enzyme,['K00609'],['ko00240'],['Pyrimidine metabolism'],['Metabolism'],COG0540,Amino acid transport and metabolism,['2.1.3.2'],['Aspartate carbamoyltransferase'],"['GO:0009058', 'GO:0009112', 'GO:0006228', 'GO:0006526', 'GO:0005737', 'GO:0003674', 'GO:0008152', 'GO:0005524', 'GO:0004672', 'GO:0046872']","['biosynthetic process', 'pyrimidine nucleobase biosynthetic process', 'pyrimidine nucleotide biosynthetic process', 'cellular amino acid metabolic process', 'mitochondrion', 'molecular_function', 'metabolic process', 'ATP binding', 'protein histidine kinase activity', 'metal ion binding']","[{'id': 'PF00115', 'name': 'OTCace'}, {'id': 'PF02786', 'name': 'OTCace_N'}]","['pyrimidine biosynthesis', 'carbamoyltransferase', 'metabolism', 'amino acid metabolism']",['Cell Wall & Envelope Biogenesis'],High,Well-annotated enzyme in pyrimidine biosynthesis pathway; suitable for metabolic and expression analyses.,
BFJEKD_04535,Dihydroorotase,Pyrimidine biosynthesis enzyme,['K01465'],['ko00240'],['Pyrimidine metabolism'],['Metabolism'],COG0044,Amino acid transport and metabolism,['3.5.2.3'],['Dihydroorotase'],"['GO:0008270', 'GO:0006228', 'GO:0006526', 'GO:0005737', 'GO:0004088', 'GO:0006225', 'GO:0004087', 'GO:0046872', 'GO:0005524', 'GO:0004672']","['zinc ion binding', 'pyrimidine nucleotide biosynthetic process', 'cellular amino acid metabolic process', 'mitochondrion', 'dihydroorotase activity', 'pyrimidine nucleotide biosynthetic process', 'dihydroorotase activity', 'metal ion binding', 'ATP binding', 'protein histidine kinase activity']","[{'id': 'PF01979', 'name': 'Amidohydro_1'}]","['pyrimidine biosynthesis', 'dihydroorotase', 'metabolism', 'amino acid metabolism']",['Cell Wall & Envelope Biogenesis'],High,Complete annotation consistent with pyrimidine biosynthesis; important for nucleotide metabolism studies.,
BFJEKD_04540,Glycerol-3-phosphate 1-O-acyltransferase PlsY,Glycerophospholipid metabolism enzyme,['K08591'],['ko00564'],['Glycerophospholipid metabolism'],['Metabolism'],COG0344,Lipid transport and metabolism,['2.3.1.275'],['Acyl phosphate:glycerol-3-phosphate acyltransferase'],"['GO:0006629', 'GO:0005886', 'GO:0016740', 'GO:0008152', 'GO:0016020', 'GO:0044237', 'GO:0003824', 'GO:0044464', 'GO:0006793', 'GO:0006644']","['lipid metabolic process', 'plasma membrane', 'transferase activity, transferring acyl groups', 'metabolic process', 'membrane', 'cellular metabolic process', 'catalytic activity', 'cellular lipid metabolic process', 'cellular nitrogen compound metabolic process', 'fatty acid biosynthetic process']","[{'id': 'PF01553', 'name': 'G3P_acyltransf'}]","['glycerophospholipid metabolism', 'acyltransferase', 'membrane enzyme', 'lipid biosynthesis']","['Protein Folding, Quality Control & Stress Response']",High,Well-characterized enzyme in lipid metabolism; relevant for membrane lipid biosynthesis and remodeling.,
BFJEKD_04545,Glutathione S-transferase,Detoxification Enzymes,['K00799'],['map00480'],['Glutathione metabolism'],['Metabolism'],COG0625,"Secondary metabolites biosynthesis, transport and catabolism",['2.5.1.18'],['glutathione transferase'],"['GO:0004364', 'GO:0006979', 'GO:0019855', 'GO:0005506', 'GO:0005739', 'GO:0008152', 'GO:0005576', 'GO:0003674', 'GO:0008150', 'GO:0016491']","['glutathione transferase activity', 'response to oxidative stress', 'glutathione metabolic process', 'iron ion binding', 'cytosol', 'metabolic process', 'cellular_component', 'molecular_function', 'biological_process', 'oxidoreductase activity']","[{'id': 'PF00043', 'name': 'GST_N'}, {'id': 'PF02798', 'name': 'GST_C'}, {'id': 'PF13417', 'name': 'GST_N_3'}]","['detoxification', 'glutathione metabolism', 'oxidative stress response', 'enzyme']",['Toxin-Antitoxin & Phage Defense'],High,"Complete annotation with KO, EC, and multiple GO terms supporting detoxification function; suitable for grouping under stress response and metabolism.",
BFJEKD_04550,DNA-processing protein DprA,DNA Uptake and Recombination,['K04096'],['map03430'],"['DNA uptake, competence and transformation']",['Genetic Information Processing'],COG0758,"DNA replication, recombination and repair",,,"['GO:0009294', 'GO:0003677', 'GO:0006355']","['DNA recombination', 'DNA binding', 'regulation of transcription, DNA-templated']","[{'id': 'PF00910', 'name': 'DNA_processg_A'}]","['DNA uptake', 'competence', 'recombination', 'DNA binding']",['Toxin-Antitoxin & Phage Defense'],High,Well-annotated protein involved in natural transformation; important for genetic exchange studies.,
BFJEKD_04555,CopG family transcriptional regulator,Transcriptional Regulation,['K18918'],,,,COG4710,Transcription,,,"['GO:0006355', 'GO:0003677']","['regulation of transcription, DNA-templated', 'DNA binding']","[{'id': 'PF01402', 'name': 'RHH_1'}, {'id': 'PF03466', 'name': 'TraY'}]","['transcriptional regulator', 'DNA binding', 'regulation']",['Cell Wall & Envelope Biogenesis'],High,Typical RHH-type transcriptional regulator; relevant for gene expression control analyses.,
BFJEKD_04560,"Type II toxin-antitoxin system mRNA interferase toxin, RelE/StbE family",Toxin-Antitoxin System,['K06218'],,,,COG2026,Toxin-antitoxin system,,,,,"[{'id': 'PF05016', 'name': 'ParE_toxin'}]","['toxin-antitoxin system', 'mRNA interferase', 'toxin']",['Polyhydroxyalkanoates & Storage Lipids'],Medium,Lacks GO terms but KO and COG support toxin function; important for stress response and persistence studies.,
BFJEKD_04565,Toxin-antitoxin system HicB family antitoxin,Toxin-Antitoxin System,,,,,COG4226,Toxin-antitoxin system,,,['GO:0006355'],"['regulation of transcription, DNA-templated']","[{'id': 'PF07927', 'name': 'HicB'}]","['toxin-antitoxin system', 'antitoxin', 'transcriptional regulation']",['Unknown & Hypothetical Proteins'],Medium,Antitoxin component with transcriptional regulation role; no KO or EC but supported by COG and PFAM.,
BFJEKD_04570,"ABC-type Fe3+ transport system, periplasmic component",Iron transport system substrate-binding protein,['K02012'],['map02010'],['ABC transporters'],['Membrane transport'],COG1840,"Extracellular solute-binding proteins, transport and metabolism",,,['GO:0006810'],['transport'],"[{'id': 'PF00496', 'name': 'SBP_bac_11'}, {'id': 'PF00497', 'name': 'SBP_bac_6'}]","['iron transport', 'ABC transporter', 'periplasmic binding protein']",['Unknown & Hypothetical Proteins'],High,Complete annotation with KO and COG consistent; no EC number as typical for substrate-binding proteins. Suitable for grouping under iron uptake systems.,
BFJEKD_04575,"ABC-type Fe3+ transport system, permease component",Iron transport system permease protein,['K02011'],['map02010'],['ABC transporters'],['Membrane transport'],COG1178,"ABC-type transport system, permease component",,,"['GO:0055085', 'GO:0016020']","['transmembrane transport', 'membrane']","[{'id': 'PF00664', 'name': 'BPD_transp_1'}]","['iron transport', 'ABC transporter', 'membrane permease']",['Secretion & Transport Systems'],High,Permease component of ABC iron transporter; GO terms confirm membrane localization and transport function.,
BFJEKD_04580,"ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component",ABC transporter ATP-binding protein,['K02010'],['map02010'],['ABC transporters'],['Membrane transport'],COG3842,ABC-type transport system ATPase component,"['3.6.3.30', '7.2.2.7']","['ATPase involved in transmembrane movement of substances', 'ABC-type transport ATPase']","['GO:0005524', 'GO:0016887', 'GO:0055085', 'GO:0005886', 'GO:0022857', 'GO:0043190', 'GO:0015408', 'GO:0055052']","['ATP binding', 'ATPase activity', 'transmembrane transport', 'plasma membrane', 'transmembrane transporter activity', 'ATP hydrolysis coupled proton transport', 'spermidine transmembrane transporter activity', 'regulation of membrane potential']","[{'id': 'PF00005', 'name': 'ABC_tran'}, {'id': 'PF06472', 'name': 'TOBE_2'}]","['iron transport', 'ABC transporter', 'ATPase']",['Secretion & Transport Systems'],High,ATPase component energizing ABC transporter; EC numbers inferred from KO and literature; multiple GO terms support ATPase and transport functions.,
BFJEKD_04585,DNA topoisomerase I,DNA topoisomerase,['K03168'],['map03030'],['DNA replication'],['Genetic Information Processing'],COG1754,DNA topoisomerase,"['5.6.2.1', '5.99.1.2']","['DNA topoisomerase I', 'DNA topoisomerase, type IA']","['GO:0003677', 'GO:0003917', 'GO:0006281', 'GO:0005634', 'GO:0003678', 'GO:0005524', 'GO:0006310', 'GO:0006314', 'GO:0006260', 'GO:0007064']","['DNA binding', 'DNA topoisomerase activity', 'DNA repair', 'nucleus', 'nucleic acid binding', 'ATP binding', 'DNA recombination', 'DNA strand elongation', 'DNA replication', 'cell cycle']","[{'id': 'PF01751', 'name': 'Topoisom_bac'}, {'id': 'PF00912', 'name': 'Toprim'}, {'id': 'PF13368', 'name': 'Toprim_C_rpt'}, {'id': 'PF02914', 'name': 'zf-C4_Topoisom'}]","['DNA replication', 'DNA topology', 'topoisomerase', 'genetic information processing']",['Secretion & Transport Systems'],High,Comprehensive annotation with multiple EC numbers and extensive GO terms; key enzyme in DNA topology and replication.,
BFJEKD_04590,Exoribonuclease R,3'-5' exoribonuclease involved in RNA maturation and degradation,['K12573'],['map03018'],['RNA degradation'],['Genetic Information Processing'],COG0557,Exoribonuclease R,['3.1.13.1'],['Exoribonuclease R'],"['GO:0006397', 'GO:0004532', 'GO:0004540', 'GO:0005524', 'GO:0005737', 'GO:0006396', 'GO:0005829', 'GO:0005634', 'GO:0003723', 'GO:0003677']","['mRNA processing', 'exoribonuclease activity', 'ribonuclease activity', 'ATP binding', 'cytoplasm', 'RNA processing', 'cytosol', 'nucleus', 'RNA binding', 'nucleic acid binding']","[{'id': 'PF00380', 'name': 'RNB'}, {'id': 'PF00013', 'name': 'S1'}]","['RNA degradation', 'exoribonuclease', 'RNA processing', 'genetic information processing']",['Carbon Concentrating & Fixation'],High,Well-annotated exoribonuclease with KO and EC; key role in RNA maturation and degradation pathways.,
BFJEKD_04595,C-terminal processing protease CtpA/Prc,Proteolysis and Protein Processing,['K03797'],['ko03018'],['RNA degradation'],['Genetic Information Processing'],COG0793,"Posttranslational modification, protein turnover, chaperones",['3.4.21.102'],['carboxyl-terminal processing protease'],"['GO:0006508', 'GO:0008236', 'GO:0004252', 'GO:0016020', 'GO:0005886', 'GO:0005576', 'GO:0005634', 'GO:0005515', 'GO:0006397', 'GO:0042803']","['proteolysis', 'peptidase activity', 'serine-type endopeptidase activity', 'membrane', 'plasma membrane', 'extracellular region', 'nucleus', 'protein binding', 'RNA processing', 'protein complex oligomerization']","[{'id': 'PF00595', 'name': 'PDZ'}, {'id': 'PF02828', 'name': 'PDZ_2'}, {'id': 'PF03797', 'name': 'Peptidase_S41'}]","['protease', 'protein processing', 'membrane-associated protease', 'posttranslational modification']",['Amino Acid Biosynthesis'],High,"Complete annotation with KO, EC, GO, COG, and PFAM domains consistent; key protease involved in protein maturation and turnover, relevant for protein quality control and stress response.",
BFJEKD_04600,50S ribosomal protein L33,Ribosomal Protein and Translation,['K02913'],['ko03010'],['Ribosome'],['Genetic Information Processing'],COG0267,"Translation, ribosomal structure and biogenesis",,,"['GO:0006412', 'GO:0003735', 'GO:0005840', 'GO:0005622', 'GO:0005623', 'GO:0005198', 'GO:0009058', 'GO:0043226', 'GO:0043228', 'GO:0043229']","['translation', 'structural constituent of ribosome', 'ribosome', 'intracellular', 'cytoplasm', 'structural molecule activity', 'cellular amino acid metabolic process', 'ribosomal large subunit', 'ribosomal subunit', 'ribonucleoprotein complex']","[{'id': 'PF00444', 'name': 'Ribosomal_L33'}]","['ribosomal protein', 'translation', 'protein synthesis']",['Unknown & Hypothetical Proteins'],High,"Well-annotated ribosomal protein essential for translation; no EC number as expected; strong evidence from KO, GO, COG, and PFAM.",
BFJEKD_04605,CheY-like receiver domain protein,Two-Component Signal Transduction System,['K11443'],['ko02020'],['Two-component system'],['Environmental Information Processing'],COG0784,Signal transduction mechanisms,,,['GO:0000160'],['two-component signal transduction system (phosphorelay)'],"[{'id': 'PF00072', 'name': 'Response_reg'}]","['two-component system', 'signal transduction', 'response regulator', 'chemotaxis']",['Amino Acid Biosynthesis'],High,Clear functional assignment as response regulator in two-component systems; KO and PFAM domains support annotation; relevant for environmental sensing and response.,
BFJEKD_04610,DUF423 domain-containing protein,Membrane Protein of Unknown Function,,,,,COG2363,Function unknown,,,"['GO:0005623', 'GO:0016020', 'GO:0016021', 'GO:0005575', 'GO:0005886', 'GO:0071944', 'GO:0031224', 'GO:0044425', 'GO:0044464']","['cell', 'membrane', 'integral component of membrane', 'extracellular region', 'plasma membrane', 'membrane microdomain', 'intrinsic component of membrane', 'cytoplasmic part', 'cytoplasmic membrane-bounded vesicle']","[{'id': 'PF04103', 'name': 'DUF423'}]","['membrane protein', 'unknown function', 'DUF domain']",['Amino Acid Biosynthesis'],Medium,Protein contains a DUF423 domain with membrane localization GO terms; no KO or EC; function unknown but likely membrane-associated; useful to track as unknown membrane protein in expression studies.,
BFJEKD_04615,Hypothetical protein,Uncharacterized Protein,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Protein Processing & Degradation'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM domains; treat as uncharacterized protein in downstream analyses.",
BFJEKD_04620,Domain of unknown function DUF29,Uncharacterized protein domain,,,,,,,,,,,"[{'id': 'PF01839', 'name': 'DUF29'}]","['unknown function', 'DUF29']",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation available beyond DUF29 domain; treat as uncharacterized in grouping and DE analysis.,
BFJEKD_04625,Ribonuclease HII,Nucleic acid metabolism - DNA repair and replication,['K03470'],"['ko03410', 'ko03030']","['Base excision repair', 'DNA replication']","['Genetic Information Processing', 'Genetic Information Processing']",COG0164,"Replication, recombination and repair",['3.1.26.4'],['Ribonuclease HII'],"['GO:0004523', 'GO:0006308', 'GO:0003677', 'GO:0006281', 'GO:0006260', 'GO:0004519', 'GO:0003723', 'GO:0005634', 'GO:0003676', 'GO:0008152']","['ribonuclease H activity', 'DNA repair', 'DNA binding', 'DNA metabolic process', 'DNA replication', 'endonuclease activity', 'nucleic acid binding', 'nucleus', 'molecular_function', 'metabolic process']","[{'id': 'PF17929', 'name': 'RNase_HII'}]","['DNA repair', 'endonuclease', 'ribonuclease H', 'DNA replication']",['Cell Wall & Envelope Biogenesis'],High,Well-annotated ribonuclease HII involved in RNA-DNA hybrid degradation; important for DNA replication and repair pathways.,
BFJEKD_04630,DNA adenine methyltransferase (CcrM),DNA modification and methylation,"['K00571', 'K13581']","['ko03030', 'ko03430']","['DNA replication', 'Mismatch repair']","['Genetic Information Processing', 'Genetic Information Processing']",COG0863,"DNA replication, recombination, and repair",['2.1.1.72'],['DNA (adenine-N6)-methyltransferase'],"['GO:0008168', 'GO:0006308', 'GO:0006260', 'GO:0003677', 'GO:0005634', 'GO:0003676', 'GO:0004519', 'GO:0043565', 'GO:0005829', 'GO:0009411']","['methyltransferase activity', 'DNA repair', 'DNA replication', 'DNA binding', 'nucleus', 'molecular_function', 'endonuclease activity', 'DNA modification', 'cytoplasm', 'response to stress']","[{'id': 'PF01555', 'name': 'N6_N4_Mtase'}]","['DNA methylation', 'DNA modification', 'methyltransferase', 'epigenetic regulation']","['Protein Folding, Quality Control & Stress Response']",High,Key DNA adenine methyltransferase involved in epigenetic regulation and DNA replication control; relevant for DNA modification and repair studies.,
BFJEKD_04635,Hemerythrin,Oxygen transport and binding proteins,['K07216'],,,,COG2703,Inorganic ion transport and metabolism,,,['GO:0046872'],['metal ion binding'],"[{'id': 'PF01814', 'name': 'Hemerythrin'}]","['oxygen binding', 'metal ion binding', 'hemerythrin']",['Toxin-Antitoxin & Phage Defense'],Medium,Hemerythrin domain protein likely involved in oxygen or metal ion binding; no direct KEGG pathway but relevant for ion transport/metabolism grouping.,
BFJEKD_04640,Chemotaxis phosphatase CheZ,Chemotaxis and Signal Transduction,['K03414'],['ko02030'],['Bacterial chemotaxis'],['Environmental Information Processing'],COG3143,Signal transduction mechanisms,,,"['GO:0007165', 'GO:0005886', 'GO:0000155']","['signal transduction', 'plasma membrane', 'two-component system phosphorelay']","[{'id': 'PF02684', 'name': 'CheZ'}]","['chemotaxis', 'signal transduction', 'phosphatase']",['Toxin-Antitoxin & Phage Defense'],High,Complete KO and PFAM domain support chemotaxis phosphatase function; useful for grouping in motility and signal transduction categories.,
BFJEKD_04645,Two-component system histidine kinase DivJ,Two-Component Signal Transduction System,['K11357'],['ko02020'],['Two-component system'],['Environmental Information Processing'],COG2202,Signal transduction mechanisms,['2.7.13.3'],['Histidine kinase'],"['GO:0004672', 'GO:0000160', 'GO:0005886', 'GO:0007165', 'GO:0000155', 'GO:0004722', 'GO:0006355', 'GO:0005504', 'GO:0016020', 'GO:0003677']","['protein histidine kinase activity', 'signal transduction', 'plasma membrane', 'signal transduction', 'two-component system phosphorelay', 'protein histidine phosphatase activity', 'transcription, DNA-templated', 'iron ion binding', 'membrane', 'DNA binding']","[{'id': 'PF02518', 'name': 'HATPase_c'}, {'id': 'PF00512', 'name': 'HisKA'}, {'id': 'PF00989', 'name': 'PAS'}, {'id': 'PF08447', 'name': 'PAS_3'}, {'id': 'PF08448', 'name': 'PAS_4'}, {'id': 'PF08449', 'name': 'PAS_7'}, {'id': 'PF13426', 'name': 'PAS_9'}]","['two-component system', 'histidine kinase', 'signal transduction', 'sensor kinase']",['Cell Wall & Envelope Biogenesis'],High,KO and EC fully consistent; multiple PAS domains indicate sensory function; key for grouping in signal transduction and environmental response.,
BFJEKD_04650,O-succinylhomoserine sulfhydrylase,Amino Acid Biosynthesis - Methionine Pathway,['K10764'],['ko00270'],['Cysteine and methionine metabolism'],['Metabolism'],COG0626,Amino acid transport and metabolism,['2.5.1.-'],"['Transferases transferring alkyl or aryl groups, other than methyl groups']","['GO:0008612', 'GO:0016740', 'GO:0006529', 'GO:0005737', 'GO:0009058', 'GO:0003824', 'GO:0008152', 'GO:0016787', 'GO:0003674', 'GO:0005575']","['methionine biosynthetic process', 'transferase activity, transferring alkyl or aryl groups, other than methyl groups', 'cellular amino acid metabolic process', 'cytoplasm', 'metabolic process', 'catalytic activity', 'biological_process', 'hydrolase activity', 'molecular_function', 'cellular_component']","[{'id': 'PF01053', 'name': 'Cys_Met_Meta_PP'}]","['amino acid biosynthesis', 'methionine metabolism', 'transferase']",['Polyhydroxyalkanoates & Storage Lipids'],High,KO and PFAM domain confirm function in methionine biosynthesis; important for grouping in sulfur amino acid metabolism.,
BFJEKD_04655,Hypothetical protein,Uncharacterized Protein,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Unknown & Hypothetical Proteins'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,
BFJEKD_04660,Hypothetical protein (likely membrane-associated),Uncharacterized Protein with Membrane Association,,,,,,,,,,,,"['hypothetical protein', 'membrane-associated', 'unknown function']",['Unknown & Hypothetical Proteins'],Low,"No KO, EC, or PFAM domains; sequence hydrophobicity and description suggest membrane localization; consider for further experimental characterization.",
BFJEKD_04665,Hypothetical protein,Uncharacterized protein,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Secretion & Transport Systems'],Low,No functional annotation or domain information available; likely uncharacterized protein.,
BFJEKD_04670,Hypothetical protein,Uncharacterized protein,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Secretion & Transport Systems'],Low,No functional annotation or domain information available; likely uncharacterized protein.,
BFJEKD_04675,"ABC-type Fe3+-hydroxamate transport system, periplasmic component",Iron siderophore transport system,['K02016'],['map02010'],['ABC transporters'],['Membrane transport'],COG0614,Inorganic ion transport and metabolism,,,['GO:0071281'],['siderophore transport'],"[{'id': 'PF00496', 'name': 'Periplasmic binding protein 2'}]","['iron transport', 'siderophore uptake', 'ABC transporter', 'membrane transporter']",['Secretion & Transport Systems'],High,Well-annotated iron siderophore ABC transporter periplasmic component; important for iron acquisition.,
BFJEKD_04680,Outer membrane cobalamin receptor protein BtuB,TonB-dependent outer membrane receptor,['K02014'],['map02010'],['ABC transporters'],['Membrane transport'],COG4206,Inorganic ion transport and metabolism,,,"['GO:0044718', 'GO:0015344']","['transmembrane transport', 'cobalamin transport']","[{'id': 'PF07715', 'name': 'Plug domain'}, {'id': 'PF00593', 'name': 'TonB-dependent receptor'}]","['cobalamin transport', 'TonB-dependent receptor', 'outer membrane transporter', 'membrane transporter']",['Carbon Concentrating & Fixation'],High,Outer membrane receptor for cobalamin (vitamin B12) uptake; TonB-dependent transport system.,
BFJEKD_04685,DUF2478 domain-containing protein / Nucleotide phosphatase MobA,Molybdopterin biosynthesis and nucleotide metabolism,"['K00943', 'K02013', 'K03574', 'K03752', 'K06928']","['map00790', 'map00230', 'map00240']","['Molybdenum cofactor biosynthesis', 'Purine metabolism', 'Pyrimidine metabolism']","['Metabolism', 'Nucleotide metabolism']",,,"['2.7.4.9', '2.7.7.77', '3.6.1.15', '3.6.1.55', '3.6.3.34']","['Molybdopterin adenylyltransferase', 'DNA-directed DNA polymerase', 'Nucleoside-triphosphatase', 'Nucleoside-triphosphate phosphatase', 'Nucleoside-triphosphate diphosphatase']","['GO:0005524', 'GO:0008081', 'GO:0004385', 'GO:0004789', 'GO:0005525', 'GO:0003674', 'GO:0008152', 'GO:0016787', 'GO:0005737', 'GO:0009506']","['ATP binding', 'nucleotidyltransferase activity', 'helicase activity', 'phosphoric diester hydrolase activity', 'ATPase activity', 'molecular_function', 'biological_process', 'hydrolase activity, acting on ester bonds', 'cytoplasm', 'chloroplast']","[{'id': 'PF09969', 'name': 'DUF2478'}, {'id': 'PF00004', 'name': 'NTPase_1'}]","['molybdopterin biosynthesis', 'nucleotide metabolism', 'nucleotide phosphatase', 'NTPase', 'nucleotide binding']",['Amino Acid Biosynthesis'],High,Multi-KO annotated protein involved in molybdenum cofactor biosynthesis and nucleotide metabolism; strong GO and EC support.,
BFJEKD_04690,iron ABC transporter permease FepD,Iron ABC Transport System Permease,['K02015'],['map02010'],['ABC transporters'],['Membrane transport'],COG0609,Inorganic ion transport and metabolism,,,"['GO:0022857', 'GO:0005886', 'GO:0033214', 'GO:0016020']","['transmembrane transporter activity', 'plasma membrane', 'iron ion transmembrane transport', 'membrane']","[{'id': 'PF02653', 'name': 'FecCD'}]","['iron transport', 'ABC transporter', 'membrane permease']",['Unknown & Hypothetical Proteins'],High,Complete annotation with KO and COG supporting iron ABC transporter permease function; useful for grouping iron uptake systems.,
BFJEKD_04695,iron ABC transporter ATP-binding protein FepC,Iron ABC Transport System ATPase,['K02013'],['map02010'],['ABC transporters'],['Membrane transport'],COG1120,Inorganic ion transport and metabolism,"['3.6.3.34', '7.2.2.-']","['ATPase involved in transmembrane movement of substances', 'Transport ATPase']","['GO:0005524', 'GO:0016020', 'GO:0005886', 'GO:0006879', 'GO:0055085', 'GO:0022857', 'GO:0008554', 'GO:0005739', 'GO:0014898', 'GO:0006813']","['ATP binding', 'membrane', 'plasma membrane', 'iron ion homeostasis', 'active transmembrane transporter activity', 'transmembrane transporter activity', 'iron ion transmembrane transporter activity', 'mitochondrion', 'ATPase activity, coupled to transmembrane movement of substances', 'transmembrane transport']","[{'id': 'PF00005', 'name': 'ABC_tran'}]","['iron transport', 'ABC transporter', 'ATPase']",['Amino Acid Biosynthesis'],High,"Strong evidence from KO, EC, and extensive GO terms; key ATPase component of iron ABC transporter complex.",
BFJEKD_04700,RES domain-containing protein,Uncharacterized RES Domain Protein,,,,,,,,,,,"[{'id': 'PF04055', 'name': 'RES'}]","['unknown function', 'RES domain']",['Amino Acid Biosynthesis'],Low,"No KO, EC, or GO annotations; function unknown, may require experimental validation; exclude from functional grouping or treat as unknown.",
BFJEKD_04705,DUF2384 domain-containing protein,Uncharacterized DUF2384 Domain Protein,,,,,,,,,['GO:0003677'],['DNA binding'],"[{'id': 'PF09925', 'name': 'DUF2384'}]","['unknown function', 'DNA binding', 'DUF2384 domain']",['Protein Processing & Degradation'],Low,"Only general DNA binding GO term; no KO or EC; function unknown, may be regulatory or structural; treat cautiously in grouping.",
BFJEKD_04710,tRNA-Gly (ccc),tRNA Glycine,,,,,,,,,,,,"['tRNA', 'translation']",['Cell Wall & Envelope Biogenesis'],Medium,Non-protein coding RNA; no sequence available; include in translation-related grouping but exclude from protein-based DE analysis.,
